Method,Silh,Cal-Har,Dav-Bold
kmeans_edges_2_25_7_10,0.7773418926281698,463.78539631009033,0.2666043911560775
kmeans_edges_3_25_7_10,0.8947128016397037,3581.2176493061775,0.1569047564647911
kmeans_edges_4_25_7_10,0.8972286066217485,8182.943163227128,0.2332946042373196
kmeans_edges_5_25_7_10,0.9462788426167512,12792.057698045264,0.06681342648716841
kmeans_edges_6_25_7_10,0.9445606612081426,34236.54797368355,0.10227928019781642
kmeans_edges_7_25_7_10,0.9297526750178645,73050.35006998423,0.11555737852534491
kmeans_edges_8_25_7_10,0.9271156715524083,142476.33233699633,0.10711299632084781
kmeans_edges_9_25_7_10,0.9559330080620526,209878.71150112018,0.07446998363700448
kmeans_edges_10_25_7_10,0.9426054666691436,349967.24191385956,0.03930782842318746
kmeans_edges_11_25_7_10,0.9499157191406861,663069.0195512817,0.03092595807258035
kmeans_edges_12_25_7_10,0.9301107662588101,1175843.4809037116,0.07128454498289909
kmeans_edges_2_25_7_15,0.7790381924082064,776.1115835242188,0.2574389041721104
kmeans_edges_3_25_7_15,0.8577207667107571,3491.8031234265013,0.18876640084932625
kmeans_edges_4_25_7_15,0.8533605996494475,6951.0380818071,0.27483450404714554
kmeans_edges_5_25_7_15,0.9219241270226105,9578.95712169286,0.09318525149602322
kmeans_edges_6_25_7_15,0.9240873958730005,18424.90082528141,0.13437124244828155
kmeans_edges_7_25_7_15,0.9417280100215477,35307.74820876155,0.11859159500301227
kmeans_edges_8_25_7_15,0.9360608866701013,75805.16622147652,0.12302161591039916
kmeans_edges_9_25_7_15,0.9335232582434022,118066.0455247952,0.11725878164019878
kmeans_edges_10_25_7_15,0.9316503437207344,213975.9642837947,0.13965242057859512
kmeans_edges_11_25_7_15,0.9518830435722024,298382.69801295904,0.11025522270732195
kmeans_edges_12_25_7_15,0.9477866792793114,393829.88836201065,0.039567060980503325
kmeans_edges_2_25_7_20,0.7725848768195808,1127.8390782624144,0.2643557877494606
kmeans_edges_3_25_7_20,0.8184945054681141,3444.60565256167,0.22248807870452506
kmeans_edges_4_25_7_20,0.8137833112359099,6108.227605970374,0.31340930068999606
kmeans_edges_5_25_7_20,0.8824032704309492,7506.39989215304,0.1576562321537382
kmeans_edges_6_25_7_20,0.8907030766361435,12689.135575263635,0.1772679772340053
kmeans_edges_7_25_7_20,0.9297974502772649,28106.623163722958,0.13221389383599377
kmeans_edges_8_25_7_20,0.9324591819146321,39935.40222391122,0.12285798893373252
kmeans_edges_9_25_7_20,0.9409333108429181,81520.27369168561,0.10947481851660758
kmeans_edges_10_25_7_20,0.9419379989247973,123086.89501173349,0.12346342511118369
kmeans_edges_11_25_7_20,0.9395550914614998,299537.4962305171,0.11678672204708612
kmeans_edges_12_25_7_20,0.9547915614761269,387412.3121761936,0.09161451637732936
kmeans_edges_2_25_8_10,0.757634758569933,584.118717536505,0.311311459984185
kmeans_edges_3_25_8_10,0.8726905726788404,3442.245255879504,0.18377388238780837
kmeans_edges_4_25_8_10,0.8512269987531392,4901.378304943307,0.283178257437563
kmeans_edges_5_25_8_10,0.8681572728941576,7183.354231709167,0.2347999456655415
kmeans_edges_6_25_8_10,0.897767230855411,11290.113619574631,0.12834990949107625
kmeans_edges_7_25_8_10,0.9211403161625871,20220.725002934356,0.11618753342834329
kmeans_edges_8_25_8_10,0.9163384571720465,37167.34731127213,0.11681726636800997
kmeans_edges_9_25_8_10,0.9135065037735651,61011.93462804949,0.1826338874893786
kmeans_edges_10_25_8_10,0.9127110843130477,98188.39516133555,0.16067892677860776
kmeans_edges_11_25_8_10,0.9312312924826475,136192.06768921542,0.06817755638250773
kmeans_edges_12_25_8_10,0.9270990463177841,198339.33776039392,0.05509086498385953
kmeans_edges_2_25_8_15,0.7510788696548266,953.3238062768155,0.30560843149297606
kmeans_edges_3_25_8_15,0.8319559302742316,3553.4166776248167,0.22083670655723112
kmeans_edges_4_25_8_15,0.8137191708583125,5673.700635488042,0.3370503448350522
kmeans_edges_5_25_8_15,0.8326366557734204,7256.473526905816,0.2783097996090212
kmeans_edges_6_25_8_15,0.8731306389690416,10944.071824273306,0.1847346747062455
kmeans_edges_7_25_8_15,0.9315609673383095,35311.500249886674,0.09760904734701356
kmeans_edges_8_25_8_15,0.9330083323752957,72827.35369070784,0.10017143170063857
kmeans_edges_9_25_8_15,0.9299505316167945,111206.6762875711,0.1568069721081076
kmeans_edges_10_25_8_15,0.9276326278358047,142878.78062470965,0.1451251721689237
kmeans_edges_11_25_8_15,0.9277633922707755,197292.80121910226,0.1435823064511137
kmeans_edges_12_25_8_15,0.9383041559219149,262950.3991078062,0.07698830847170646
kmeans_edges_2_25_8_20,0.7471938517363313,1372.2078422004236,0.3051057272907485
kmeans_edges_3_25_8_20,0.8023748070773733,3946.5145851695784,0.24775452284713598
kmeans_edges_4_25_8_20,0.7907978342346125,6482.798910558319,0.36217784882269777
