Len_min,N_clusters,K_neighb,Silh,St_edges
35,6,9,0.0032229514293456675,[  0  41  89 170 286 357]
25,6,10,-0.003561653480174036,[  0  41 141 170 323 357]
30,6,10,-0.003561653480174036,[  0  41 170 323 357]
35,6,10,-0.003561653480174036,[  0  41 170 357]
25,7,4,-0.007876599992185087,[  0  41 142 171 325 357]
30,7,4,-0.007876599992185087,[  0  41 171 325 357]
35,7,4,-0.007876599992185087,[  0  41 171 357]
25,7,5,-0.010095443922478199,[  0  41 164 323 357]
30,7,5,-0.010095443922478199,[  0  41 164 323 357]
35,7,5,-0.010095443922478199,[  0  41 164 357]
25,7,6,0.0002248226248757772,[  0  44 141 169 323 357]
30,7,6,0.0002248226248757772,[  0  44 169 323 357]
35,7,6,0.0002248226248757772,[  0  44 169 357]
25,7,7,-0.020823721547147386,[  0  30 115 141 170 323 357]
30,7,7,-0.020823721547147386,[  0 170 323 357]
35,7,7,-0.020823721547147386,[  0 170 357]
25,7,8,-0.019576245301817972,[  0  30 142 170 323 357]
30,7,8,-0.019576245301817972,[  0 170 323 357]
35,7,8,-0.019576245301817972,[  0 170 357]
25,7,9,0.002757149876289746,[  0  41  89 170 286 323 357]
30,7,9,0.002757149876289746,[  0  41  89 170 286 323 357]
35,7,9,0.002757149876289746,[  0  41  89 170 286 357]
25,7,10,-0.0016872617363508794,[  0  41 141 170 323 357]
30,7,10,-0.0016872617363508794,[  0  41 170 323 357]
35,7,10,-0.0016872617363508794,[  0  41 170 357]
25,8,4,-0.020613184410455256,[  0  41 142 171 325 357]
30,8,4,-0.020613184410455256,[  0  41 171 325 357]
35,8,4,-0.020613184410455256,[  0  41 171 357]
25,8,5,-0.013671062047630354,[  0 164 323 357]
30,8,5,-0.013671062047630354,[  0 164 323 357]
35,8,5,-0.013671062047630354,[  0 164 357]
25,8,6,-0.005391914709076625,[  0  44 141 169 323 357]
30,8,6,-0.005391914709076625,[  0  44 169 323 357]
35,8,6,-0.005391914709076625,[  0  44 169 357]
25,8,7,-0.02154910182213226,[  0  30 115 141 170 323 357]
30,8,7,-0.02154910182213226,[  0 170 323 357]
35,8,7,-0.02154910182213226,[  0 170 357]
25,8,8,-0.020445256017752357,[  0  30 142 170 323 357]
30,8,8,-0.020445256017752357,[  0 170 323 357]
35,8,8,-0.020445256017752357,[  0 170 357]
25,8,9,-0.006619561330036383,[  0  41  89 141 170 323 357]
30,8,9,-0.006619561330036383,[  0  41  89 170 323 357]
35,8,9,-0.006619561330036383,[  0  41  89 170 357]
25,8,10,-0.005489446889293108,[  0  30 141 170 323 357]
30,8,10,-0.005489446889293108,[  0 170 323 357]
35,8,10,-0.005489446889293108,[  0 170 357]
25,9,4,-0.02274152506825308,[  0 142 171 325 357]
30,9,4,-0.02274152506825308,[  0 171 325 357]
35,9,4,-0.02274152506825308,[  0 171 357]
25,9,5,-0.018714235558755617,[  0 164 323 357]
30,9,5,-0.018714235558755617,[  0 164 323 357]
35,9,5,-0.018714235558755617,[  0 164 357]
25,9,6,-0.01671130997324053,[  0  44 141 169 323 357]
30,9,6,-0.01671130997324053,[  0  44 169 323 357]
35,9,6,-0.01671130997324053,[  0  44 169 357]
25,9,7,-0.025986462594132977,[  0  30 115 141 170 323 357]
30,9,7,-0.025986462594132977,[  0 170 323 357]
35,9,7,-0.025986462594132977,[  0 170 357]
25,9,8,-0.02535493562394558,[  0  30 142 170 204 286 323 357]
30,9,8,-0.02535493562394558,[  0 170 204 286 323 357]
35,9,8,-0.02535493562394558,[  0 170 286 357]
25,9,9,-0.021333742390602317,[  0  41 115 141 170 323 357]
30,9,9,-0.021333742390602317,[  0  41 170 323 357]
35,9,9,-0.021333742390602317,[  0  41 170 357]
25,9,10,-0.005944571044068729,[  0  30 141 170 323 357]
30,9,10,-0.005944571044068729,[  0 170 323 357]
35,9,10,-0.005944571044068729,[  0 170 357]
25,10,4,-0.024453893316669705,[  0 142 171 325 357]
30,10,4,-0.024453893316669705,[  0 171 325 357]
35,10,4,-0.024453893316669705,[  0 171 357]
25,10,5,-0.025345288472781908,[  0 113 164 323 357]
30,10,5,-0.025345288472781908,[  0 113 164 323 357]
35,10,5,-0.025345288472781908,[  0 113 164 357]
25,10,6,-0.021090470654672046,[  0  44 141 169 323 357]
30,10,6,-0.021090470654672046,[  0  44 169 323 357]
35,10,6,-0.021090470654672046,[  0  44 169 357]
25,10,7,-0.021947050571901786,[  0  30 115 141 170 323 357]
30,10,7,-0.021947050571901786,[  0 170 323 357]
35,10,7,-0.021947050571901786,[  0 170 357]
25,10,8,-0.03294813002672561,[  0  30  98 142 170 204 286 323 357]
30,10,8,-0.03294813002672561,[  0  98 170 204 286 323 357]
35,10,8,-0.03294813002672561,[  0  98 170 286 357]
25,10,9,-0.021873021513312843,[  0  41 115 141 170 323 357]
30,10,9,-0.021873021513312843,[  0  41 170 323 357]
35,10,9,-0.021873021513312843,[  0  41 170 357]
25,10,10,-0.007647624715325949,[  0  30 141 170 323 357]
30,10,10,-0.007647624715325949,[  0 170 323 357]
35,10,10,-0.007647624715325949,[  0 170 357]
25,11,4,-0.029762511249702077,[  0 142 171 325 357]
30,11,4,-0.029762511249702077,[  0 171 325 357]
35,11,4,-0.029762511249702077,[  0 171 357]
25,11,5,-0.034260333504255086,[  0 113 164 323 357]
30,11,5,-0.034260333504255086,[  0 113 164 323 357]
35,11,5,-0.034260333504255086,[  0 113 164 357]
