Method,Silh,Cal-Har,Dav-Bold
ward_pca_2_4,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_2_5,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_2_6,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_2_7,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_2_8,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_2_9,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_2_10,0.7020081762140187,55.15019471642005,0.5471068255178345
ward_pca_3_4,0.07871039836614267,33.915761522551094,2.2453963885179853
ward_pca_3_5,0.07277761297424043,34.02994687980913,2.274661758920844
ward_pca_3_6,0.03994605850727089,33.64183419158005,2.7377867865537424
ward_pca_3_7,0.04015129152996042,33.93915149629296,2.7173504514620563
ward_pca_3_8,0.04015129152996042,33.93915149629296,2.7173504514620563
ward_pca_3_9,0.029951653861458625,33.9807532681203,3.7469667113756855
ward_pca_3_10,0.04015129152996042,33.93915149629296,2.7173504514620563
ward_pca_4_4,0.006148752664927068,24.93530152545012,4.410899240231355
ward_pca_4_5,0.006036574996803065,25.01983586934675,4.444524192957509
ward_pca_4_6,0.004081908415069613,25.510159425304,4.065313121568831
ward_pca_4_7,0.008231715969579355,27.306691920204063,3.428327191537335
ward_pca_4_8,0.028170984775991833,25.782188692659215,2.4803491719158153
ward_pca_4_9,0.012491997400249009,28.30348881322334,3.1602148404955246
ward_pca_4_10,0.0007023541133527948,26.865620274193272,3.0839191316167707
ward_pca_5_4,0.002826770094917982,21.041816919206102,4.249515000193038
ward_pca_5_5,-0.0010545001147394158,21.103043030360315,4.061170626643074
ward_pca_5_6,0.0003175262942219188,21.472026542502398,4.023644450740089
ward_pca_5_7,-3.4573127355616486e-05,22.106954879675563,3.999684026068985
ward_pca_5_8,0.030113683439135393,21.694831934924583,2.73799377756328
ward_pca_5_9,0.012718436932446514,23.398702270083255,2.6761244636251584
ward_pca_5_10,-0.0017364416884579658,23.55477931969052,3.5076835138377
ward_pca_6_4,0.0020176850687483477,18.26772476420059,3.551618476023577
ward_pca_6_5,-0.0018875582238244847,18.318245532675924,3.3948240429427448
ward_pca_6_6,-0.0005258779222787992,18.622733004428863,3.3638515753848854
ward_pca_6_7,-0.017501014876201756,19.75667796368359,4.576582679268804
ward_pca_6_8,-0.014959938638863112,18.995344341699635,3.0359340924660163
ward_pca_6_9,0.0032229514293456675,20.280845687369318,3.3832659680628328
ward_pca_6_10,-0.003561653480174036,21.810851151112733,4.012205243006601
ward_pca_7_4,-0.007876599992185087,16.2852005113331,3.2339543455108553
ward_pca_7_5,-0.010095443922478199,16.32465486351149,3.152086886116147
ward_pca_7_6,0.0002248226248757772,16.72655878499897,3.049175793238082
ward_pca_7_7,-0.020823721547147386,18.004919961784626,4.460834368035796
ward_pca_7_8,-0.019576245301817972,17.17769413426172,3.1472070833472423
ward_pca_7_9,0.002757149876289746,18.185986946771596,2.9093474055898305
ward_pca_7_10,-0.0016872617363508794,19.65264237543009,3.560140697551023
ward_pca_8_4,-0.020613184410455256,14.762171050257981,2.985082403287344
ward_pca_8_5,-0.013671062047630354,14.731289776677286,3.463241574105019
ward_pca_8_6,-0.005391914709076625,15.315390632078808,3.2015128618078648
ward_pca_8_7,-0.02154910182213226,16.563893885403058,3.9115800693219898
ward_pca_8_8,-0.020445256017752357,15.831312975901591,2.7623767512697404
ward_pca_8_9,-0.006619561330036383,16.38995614724661,3.3620156355589166
ward_pca_8_10,-0.005489446889293108,18.117563603534904,3.3722587608912367
ward_pca_9_4,-0.02274152506825308,13.586545502843828,3.252719988087917
ward_pca_9_5,-0.018714235558755617,13.600805971925087,3.1266804695059767
ward_pca_9_6,-0.01671130997324053,14.223326881303478,3.8345094448247843
ward_pca_9_7,-0.025986462594132977,15.411400854459139,3.7115872485674064
ward_pca_9_8,-0.02535493562394558,14.776866608726444,2.8211752142024995
ward_pca_9_9,-0.021333742390602317,15.335113838781027,3.5706042745126916
ward_pca_9_10,-0.005944571044068729,16.92119940630142,3.0048193397630785
ward_pca_10_4,-0.024453893316669705,12.72256867482385,2.986971139094341
ward_pca_10_5,-0.025345288472781908,12.638948570317261,3.049138851178827
ward_pca_10_6,-0.021090470654672046,13.410692064521774,4.6592619328235365
ward_pca_10_7,-0.021947050571901786,14.535142341112225,3.427119402529373
ward_pca_10_8,-0.03294813002672561,13.989586096662375,3.161204828573938
ward_pca_10_9,-0.021873021513312843,14.517698271943251,3.4956254675998
ward_pca_10_10,-0.007647624715325949,15.932435143340419,3.08221281329559
ward_pca_11_4,-0.029762511249702077,11.996720303755133,2.846819422198804
ward_pca_11_5,-0.034260333504255086,11.963391433421396,3.0371476891474107
ward_pca_11_6,-0.02482502579443235,12.716304002212933,4.366894480155041
ward_pca_11_7,-0.021926151203244107,13.776858055065961,3.2393613383700313
ward_pca_11_8,-0.039445045950996835,13.31416488345716,3.4708619737895416
ward_pca_11_9,-0.028832791632878114,13.87413624366803,3.51927133297162
ward_pca_11_10,-0.010087257389892391,15.163162825249263,2.955229024984979
ward_pca_12_4,-0.034035595672798714,11.400059108363235,2.6981732104455483
ward_pca_12_5,-0.039331223339760656,11.384584768655413,2.8936742166340497
ward_pca_12_6,-0.037410338936280214,12.056808245092089,4.337827583195343
ward_pca_12_7,-0.022135217811838956,13.146968599677692,3.109652710681685
ward_pca_12_8,-0.038248441171718,12.573550828546717,3.6172606606896025
ward_pca_12_9,-0.03481002629285965,13.363528827540218,3.5255042808272496
