,Method,St1_St2,St2_St3,St3_St4,St4_St5,St5_St6
0,Ward distance,1684.7236527295588,2083.3455716814256,4661.346450930334,4520.780526372623,6373.512885765694
1,Centroid distance,7.8751302260211755,10.46286629990538,19.543535831624325,14.99960856111089,15.084470426533995
2,Silhouette Coefficient,0.060979767978570874,0.04363671571878624,0.1284706581315665,0.12327000353413524,0.09078757194681787
3,Calinski-Harabasz Index,2.219114946536131,4.591244610885947,8.220699250498392,8.646584545330896,12.600981005730521
4,Davies-Bouldin Index,6.184403415042228,3.9402148030251687,2.329948566432572,3.1031477575253357,2.895249664273629
